"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"Activate Learning Education Trust","Oxpens Road, Oxford, OX1 1SA","","1,
85310","21.3","28.3","35.0","45.8","13.3","11.4","16.5","83.5","32.6","67.4","45.7","54.3","43.0","57.0","","","250 to 499","Activate Learning Education Trust","False","06/10/2021 00:00:00","15/02/2021 11:57:27"
"ACTIVE CLEANING LIMITED","Active House Selby Fork, South Milford, Leeds, North Yorkshire, LS25 5LF","04378981","81210","11.8","5.6","","","0","0","18.4","81.6","15.9","84.1","19","81","28","72","","Adam Ross (Director)","500 to 999","ACTIVE CLEANING LIMITED","False","06/10/2021 00:00:00","01/03/2021 15:32:12"
"ACTIVE LUTON","Wigmore Hall, Eaton Green Road, Luton, Bedfordshire, LU2 9JB","05458934","85510,
93110,
93130,
93199","	-10.6","	-17.2","0.0","0.0","0.6","0.6","49.6","50.4","33.9","66.1","25.2","74.8","24.4","75.6","","Helen Barnett (Chief Executive)","250 to 499","ACTIVE LUTON","False","06/10/2021 00:00:00","08/03/2021 14:54:06"
"ACTIVE STIRLING LIMITED","The Peak, Forthside Way, Stirling, Scotland, FK8 1QZ","SC298585","93110,
93199","	-1.5","0.0","","","0.0","0.0","29.0","71.0","33.0","67.0","30.0","70.0","34.0","66.0","http://www.activestirling.org.uk/","Andrew Bain (Chief Executive)","250 to 499","ACTIVE STIRLING LIMITED","False","06/10/2021 00:00:00","14/10/2020 09:16:07"
"AD ASTRA ACADEMY TRUST","Hub Two, The Innovation Centre Venture Court, Queens Meadow Business Park, Hartlepool, England, TS25 5TG","09308398","85200","15.9","41.4","","","0.0","0.0","4.7","95.3","9.3","90.7","14.0","86.0","10.3","89.7","http://www.adastraacademytrust.com/wp-content/uploads/2016/11/AA-Gender-Pay-Gap-Report-2020-Final-9.10.2020.pdf","","250 to 499","AD ASTRA ACADEMY TRUST","False","06/10/2021 00:00:00","09/10/2020 14:59:49"
"ADNAMS PLC","East Green,, Southwold,, Suffolk, IP18 6JW","00031114","11010,
11050,
46342,
47250","13.0","9.0","14.0","0.0","10.0","10.0","50.0","50.0","65.0","35.0","51.0","49.0","50.0","50.0","https://www.adnams.co.uk/customer/pages/equal-pay-and-gender-pay-gap","Sadie Lofthouse (Director of Culture and Performance)","250 to 499","ADNAMS PLC","False","06/10/2021 00:00:00","04/01/2021 16:30:47"
"ADRA (TAI) CYFYNGEDIG","Ty Coch, Llys y Dderwen, Parc Menai, Bangor, Gwynedd, LL57 4BL","IP030776","","6.0","	-4.0","","","0.0","0.0","53.0","47.0","86.0","14.0","59.0","41.0","72.0","28.0","https://www.adra.co.uk/en/about-us/our-performance/gender-pay-gap/","Catrin Jones (HR Co-ordinator)","250 to 499","ADRA (TAI) CYFYNGEDIG","False","06/10/2021 00:00:00","08/03/2021 15:22:15"
"Advisory, Conciliation and Arbitration Service","Euston Tower, London, London, United Kingdom, NW1 3JJ","","1,
84110","6.8","12.2","2.2","11.1","14.0","15.0","45.7","54.3","30.3","69.7","39.3","60.7","54.1","45.9","https://www.acas.org.uk/acas-gender-pay-report","","500 to 999","Advisory, Conciliation and Arbitration Service","False","06/10/2021 00:00:00","19/01/2021 13:15:21"
"AFH INDEPENDENT FINANCIAL SERVICES LIMITED","Afh House Buntsford Drive, Stoke Heath, Bromsgrove, Worcestershire, B60 4JE","04049180","64999","26","31","48","0","85","85","29","71","28","72","39","61","63","37","","Rebecca Hadley (Head of People & Development)","250 to 499","AFH INDEPENDENT FINANCIAL SERVICES LIMITED","False","06/10/2021 00:00:00","19/01/2021 16:22:10"
"AGE CONCERN ESSEX","Widford Hall Widford Hall Lane, Off Tattersall Way, Chelmsford, Essex, England, CM2 8TD","04309519","88100","18.2","25.0","","","0.0","0.0","4.0","96.0","0.0","100.0","0.0","100.0","8.0","92.0","https://www.ageuk.org.uk/bp-assets/globalassets/essex/original-blocks/about-us/gender-pay-gap-statement-2020_2021.pdf","Michelle Bennett (Deputy Chief Executive)","250 to 499","AGE CONCERN ESSEX","False","06/10/2021 00:00:00","01/03/2021 13:34:45"
"AGE UK LINCOLN AND SOUTH LINCOLNSHIRE","36 Park Street, Lincoln, LN1 1UQ","03777156","96040","2.2","14.0","","","0.0","0.0","6.7","93.3","3.2","96.8","13.3","86.7","10.0","90.0","https://www.ageuk.org.uk/bp-assets/globalassets/lincoln--south-lincolnshire/hr/gender-pay-gap-pdf.pdf","Michele Jolly (CEO)","250 to 499","AGE UK LINCOLN AND SOUTH LINCOLNSHIRE","False","06/10/2021 00:00:00","26/02/2021 07:47:35"
"AGEAS INSURANCE LIMITED","Ageas House Hampshire Corporate Park, Templars Way, Eastleigh, Hampshire, SO53 3YA","00354568","65120","28.1","25.2","53.6","45.8","73.8","73.8","40.8","59.2","34.7","65.3","49.3","50.7","66.2","33.8","https://www.ageas.co.uk/globalassets/assets/important-information/annual-reports-and-accounts/ageas-uk-gender-pay-gap-report-2020.pdf","Lyn Nicholls (HR Director)","1000 to 4999","AGEAS INSURANCE LIMITED","False","06/10/2021 00:00:00","30/09/2020 14:42:28"
"AGRIAL FRESH PRODUCE LTD","Florette House Wood End Lane, Fradley, Lichfield, Staffordshire, England, WS13 8NF","03687920","10390","11.7","8.5","4.0","0.0","90.0","87.4","47.9","52.1","52.1","47.9","73.7","26.3","69.6","30.4","https://www.agrialfreshproduce.co.uk/","Julie Priestley (HR Director)","500 to 999","AGRIAL FRESH PRODUCE LTD","False","06/10/2021 00:00:00","25/01/2021 17:29:05"
"AIRPORT COORDINATION LIMITED","Viewpoint, 240 London Road, Staines-Upon-Thames, Middlesex, England, TW18 4JT","02603583","52230","18.0","27.0","21.0","5.0","100.0","100.0","50.0","50.0","67.0","33.0","67.0","33.0","78.0","22.0","https://www.acl-uk.org/about-us/","Jo Clarke (Finance Director)","Less than 250","AIRPORT COORDINATION LIMITED","False","06/10/2021 00:00:00","17/11/2020 09:41:49"
"ALDI STORES LIMITED","Holly Lane, Atherstone, Warwickshire, CV9 2SQ","02321869","47110,
70100","10.3","7.1","9","0","29","46","47","53","42","58","55","45","67","33","https://www.aldi.co.uk/gender-pay","James Hutcheson (Managing Director Finance and Administration)","20,000 or more","ALDI STORES LIMITED","False","06/10/2021 00:00:00","01/03/2021 15:31:51"
"ALLEN & OVERY (SSF) LIMITED","One Bishops Square, London, E1 6AD","07462843","82990","11.4","17.8","43.5","14.9","72.7","77.1","36.0","64.0","38.0","62.0","51.0","49.0","57.0","43.0","https://www.allenovery.com/en-gb/global/about_us/diversity_and_inclusion/uk_pay_gap_report","Sasha Hardman (Global HR Director)","250 to 499","ALLEN & OVERY (SSF) LIMITED","False","06/10/2021 00:00:00","21/10/2020 09:40:16"
"ALLEN & OVERY SERVICE COMPANY LIMITED","One, Bishops Square, London, E1 6AD","02158783","74990","16.1","28.7","36.5","50.0","76.1","79.1","24.0","76.0","39.0","61.0","46.0","54.0","46.0","54.0","https://www.allenovery.com/en-gb/global/about_us/diversity_and_inclusion/uk_pay_gap_report","Sasha Hardman (Global HR Director)","1000 to 4999","ALLEN & OVERY SERVICE COMPANY LIMITED","False","06/10/2021 00:00:00","21/10/2020 09:40:49"
"ALLFORD HALL MONAGHAN MORRIS LIMITED","Morelands, 5 - 23 Old Street, London, EC1V 9HL","07155322","71111","24.5","15","40.2","27.1","67.5","67.8","42.4","57.6","57.6","42.4","53.6","46.4","74.4","25.6","https://www.ahmm.co.uk/assets/uploads/AHMM_Gender_Pay_Gap_Report_210222_sml.pdf","Peter Morris (Director)","500 to 999","ALLFORD HALL MONAGHAN MORRIS LIMITED","False","06/10/2021 00:00:00","22/02/2021 16:45:39"
"ALLIANCE DISPOSABLES LIMITED","Alliance House, Marshfield Bank, Crewe, Cheshire, CW2 8UY","03747333","47190","	-1.4","	-14.6","13.9","	-42.9","89.4","95.4","82.6","17.4","83.5","16.5","76.9","23.1","67.8","32.2","http://www.alliancenational.co.uk","Steven Tew (Financial Controller)","250 to 499","ALLIANCE DISPOSABLES LIMITED","False","06/10/2021 00:00:00","10/03/2021 17:21:40"
"ALLIANZ MANAGEMENT SERVICES LIMITED","57 Ladymead, Guildford, Surrey, GU1 1DB","03947280","82990","16.7","23.1","37.2","27.9","89.7","88.6","47.0","53.0","43.0","57.0","68.0","32.0","66.0","34.0","https://www.allianz.co.uk/about-allianz/social-responsibility/employees/inclusion.html","Jon Dye (Chief Executive Officer)","1000 to 4999","ALLIANZ MANAGEMENT SERVICES LIMITED","False","06/10/2021 00:00:00","03/03/2021 08:46:26"
"ALPHA PLUS GROUP LIMITED","50 Queen Anne Street, Marylebone, London, W1G 8HJ","00438111","85100,
85200,
85310,
85600","17.3","13.3","	-58.3","	-375.0","3.4","1.4","25.1","74.9","28.5","71.5","32.3","67.7","46.6","53.4","https://www.alphaplusgroup.co.uk/","Paul Brereton (Director of HR)","1000 to 4999","ALPHA PLUS GROUP LIMITED","False","06/10/2021 00:00:00","15/02/2021 17:40:57"
"ALTERA PRODUCTION UK LIMITED","First Floor Templeback, 10 Temple Back, Bristol, United Kingdom, BS1 6FL","03142470","9100","31.7","30.2","63.0","49.0","19.1","74.1","79.2","20.8","96.1","3.9","98.7","1.3","98.7","1.3","https://cms.alterainfra.com/wp-content/uploads/2021/03/2020-GENDER-PAY-GAP-REPORT.pdf","Stig-Morten Helland (Vice President, Head of UK Operations)","250 to 499","ALTERA PRODUCTION UK LIMITED","False","06/10/2021 00:00:00","10/03/2021 14:00:57"
"ALTRAN UK LIMITED","22 St Lawrence Street, Bath, Somerset, BA1 1AN","03302507","71122","20.3","19.0","30.1","0.6","75.5","76.0","59.0","41.0","77.0","23.0","79.8","20.2","83.8","16.2","","Michael Simms (CEO)","500 to 999","ALTRAN UK LIMITED","False","06/10/2021 00:00:00","12/03/2021 13:59:56"
"AMALGAMATED CONSTRUCTION LTD","3175 Century Way, Thorpe Park, Leeds, England, LS15 8ZB","00995892","42990","30","40.9","57.1","66.1","5.8","1.8","73.2","26.8","93.1","6.9","94.3","5.7","95.6","4.4","https://www.amcogiffen.co.uk/downloads/144/AmcoGiffen_Gender_Pay_Gap_Report_2020-21.pdf","John Booth (Managing Director)","1000 to 4999","AMALGAMATED CONSTRUCTION LTD","False","06/10/2021 00:00:00","10/02/2021 10:37:25"
"Amber Valley Borough Council","Town Hall, Market Place, Ripley, Derbyshire, United Kingdom, DE5 3BT","","1,
84110","5.0","	-14.7","","","0.0","0.0","67.7","32.3","31.8","68.2","30.2","69.8","55.6","44.4","https://www.ambervalley.gov.uk/council/strategies-and-policies/equality-and-diversity/","","250 to 499","Amber Valley Borough Council","False","06/10/2021 00:00:00","27/01/2021 16:04:24"
"AMBERON LIMITED","Unit 1 22 Aspen Way, Paignton, Devon, United Kingdom, TQ4 7QR","04410775","77390","	-63.0","	-28.0","33.0","25.0","3.0","12.0","96.0","4.0","97.0","3.0","89.0","11.0","80.0","20.0","https://www.amberontm.com/","Terry Musson (Managing Director)","500 to 999","AMBERON LIMITED","False","06/10/2021 00:00:00","24/02/2021 13:13:00"
"AMERICAN EXPRESS EUROPE LLC","Belgrave House 76 Buckingham Palace Road, London, SW1W 9AX","BR000897","","16.1","6.6","51.9","26.7","90.2","93.4","32.0","68.0","29.0","71.0","32.0","68.0","43.0","57.0","https://www.americanexpress.com/uk/legal/inclusion-and-diversity.html","Charlotte Duerden (UK Managing Director)","500 to 999","AMERICAN EXPRESS EUROPE LLC","False","06/10/2021 00:00:00","03/03/2021 11:29:17"
"AMERICAN EXPRESS GROUP SERVICES LIMITED","Belgrave House, 76 Buckingham Palace Road, London, SW1W 9AX","06613927","82990","	-1.2","4.6","	-58.0","13.5","96.0","94.7","48.0","52.0","48.0","52.0","52.0","48.0","50.0","50.0","https://www.americanexpress.com/uk/legal/inclusion-and-diversity.html","Charlotte Duerden (UK Managing Director)","250 to 499","AMERICAN EXPRESS GROUP SERVICES LIMITED","False","06/10/2021 00:00:00","04/03/2021 11:13:45"
"AMERICAN EXPRESS PAYMENT SERVICES LIMITED","Belgrave House, 76 Buckingham Palace Road, London, SW1W 9AX","06301718","82990","7.6","9.1","6.4","43.3","92.4","86.1","38.0","62.0","42.0","58.0","45.0","55.0","48.0","52.0","https://www.americanexpress.com/uk/legal/inclusion-and-diversity.html","Charlotte Duerden (UK Managing Director)","500 to 999","AMERICAN EXPRESS PAYMENT SERVICES LIMITED","False","06/10/2021 00:00:00","03/03/2021 11:37:04"
"AMERICAN EXPRESS SERVICES EUROPE LIMITED","Belgrave House, 76 Buckingham Palace Road, London, SW1W 9AX","01833139","82990","16.4","17.4","47.5","39.6","93.1","93.3","41.0","59.0","45.0","55.0","50.0","50.0","60.0","40.0","https://www.americanexpress.com/uk/legal/inclusion-and-diversity.html","Charlotte Duerden (UK Managing Director)","1000 to 4999","AMERICAN EXPRESS SERVICES EUROPE LIMITED","False","06/10/2021 00:00:00","03/03/2021 11:42:17"
"AMSRIC FOODS LIMITED","21 - 25 Church Street West 21- 25 Church Street West, Woking, Surrey, England, GU21 6DJ","02770878","56103","4.0","0.0","9.0","11.0","47.0","52.0","58.0","42.0","64.0","36.0","48.0","52.0","61.0","39.0","","Ricky Patel (Director)","1000 to 4999","AMSRIC FOODS LIMITED","False","06/10/2021 00:00:00","14/10/2020 14:32:13"
"AMSRIC LIMITED","21- 25 Church Street West, Woking, Surrey, England, GU21 6DJ","08576967","56102","1.0","0.0","	-5.0","0.0","62.0","61.0","39.0","61.0","24.0","76.0","34.0","66.0","33.0","67.0","","Ricky Patel (Director)","Less than 250","AMSRIC LIMITED","False","06/10/2021 00:00:00","14/10/2020 14:35:39"
"AMVALE MEDICAL TRANSPORT LIMITED","Unit 1 C/D South Park Industrial Estate, Birkdale Road, Scunthorpe, North Lincolnshire, DN17 2AU","04502825","82990","2.5","0.0","","","0.0","0.0","48.3","51.7","47.9","52.1","50.4","49.6","69.5","30.5","https://irp-cdn.multiscreensite.com/032bf5c5/files/uploaded/Gender%20Pay%20Gap%20Report%202018%20to%202019%20%28Website%29_OgZLKAoOQLGZzoyXRSXx.pdf","MICHAEL GODFREY (CEO)","250 to 499","AMVALE MEDICAL TRANSPORT LIMITED","False","06/10/2021 00:00:00","05/03/2021 11:59:10"
"ANGLIAN WATER SERVICES LIMITED","Lancaster House Lancaster Way, Ermine Business Park, Huntingdon, Cambridgeshire, United Kingdom, PE29 6XU","02366656","36000,
37000,
70100","5.7","11.6","17.1","7.3","97.5","96.4","55.3","44.7","70.2","29.8","82.2","17.8","69.2","30.8","https://www.anglianwater.co.uk/siteassets/household/about-us/gender-pay-gap-report-2020.pdf","Susannah Clements (Group Director of People)","5000 to 19,999","ANGLIAN WATER SERVICES LIMITED","False","06/10/2021 00:00:00","19/11/2020 15:24:21"
"ANGLIAN WINDOWS LIMITED","Liberator Road, Liberator Road, Norwich, England, NR6 6EU","02540020","43342","	-6.0","	-15.8","","","0.0","0.0","50.0","50.0","50.0","50.0","50.0","50.0","33.3","66.7","https://www.anglianhome.co.uk/legal/gender-pay-gap-reporting","Lisa Walsh (Group HR Director)","1000 to 4999","ANGLIAN WINDOWS LIMITED","False","06/10/2021 00:00:00","02/03/2021 14:36:37"
"ANGUS ALIVE","Angus House, Orchardbank Business Park, Forfar, Angus, DD8 1AN","SC499155","90040,
91011,
91020,
93110","	-9.6","	-7.5","","","0.0","0.0","37.0","63.0","35.0","65.0","30.0","70.0","27.0","73.0","https://www.angusalive.scot/media/2570/gender-pay-gap-report-2020.pdf","Kirsty Hunter (Chief Executive)","500 to 999","ANGUS ALIVE","False","06/10/2021 00:00:00","02/02/2021 14:51:12"
"ANTHEM SCHOOLS TRUST","Highbridge House, 16-18 Duke Street, Reading, RG1 4RU","07468210","85100,
85200,
85310","17.5","30.2","	-35.7","	-28.6","0.4","0.5","16.0","84.0","13.0","87.0","27.0","73.0","30.0","70.0","https://www.anthemtrust.uk/attachments/download.asp?file=1135&type=pdf","","1000 to 4999","ANTHEM SCHOOLS TRUST","False","06/10/2021 00:00:00","04/03/2021 14:09:29"
"APETITO LIMITED","Canal Road, Trowbridge, Wiltshire, BA14 8RJ","00233851","10850","14.30","10.90","48.00","22.20","80.80","83.50","60.00","40.00","48.40","51.60","68.60","31.40","65.50","34.50","","Sharon Larkin (Director of HR)","1000 to 4999","APETITO LIMITED","False","06/10/2021 00:00:00","05/08/2020 17:43:43"
"AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED","350 Longwater Avenue, Green Park, Reading, Berkshire, United Kingdom, RG2 6GF","09256777","52290,
84220","13.5","24.5","	-0.3","9.3","70.6","57.9","63.3","36.7","85.1","14.9","89.6","10.4","79.1","20.9","https://www.aquila-atms.com/blog/2020/12/8/aquila-commits-to-gender-diversity","Michael Stoller (CEO)","250 to 499","AQUILA AIR TRAFFIC MANAGEMENT SERVICES LIMITED","False","06/10/2021 00:00:00","08/01/2021 11:39:57"
"Aquinas CE Education Trust","Magpie Hall Lane, Bromley, BR2 8HZ","","1","15.7","25.2","","","0.0","0.0","17.8","82.2","4.0","96.0","18.5","81.5","21.6","78.4","https://www.aquinastrust.org/about/gender-pay-gap","","500 to 999","Aquinas CE Education Trust","False","06/10/2021 00:00:00","02/03/2021 14:48:51"
"ARAVAN LIMITED","120-122 Becontree Avenue, Dagenham, Essex, RM8 2TS","02602636","81210","	-4.9","4.0","26.0","50.0","12.7","9.0","30.0","70.0","26.8","73.2","31.7","68.3","31.0","69.0","https://www.servicemasterlondon.com/files/Gender_Pay_Gap_Report_-_2020.pdf","Patrick Tolan (Director)","250 to 499","ARAVAN LIMITED","False","06/10/2021 00:00:00","04/03/2021 14:42:17"
"ARGOS LIMITED","Avebury, 489-499 Avebury Boulevard, Milton Keynes, United Kingdom, MK9 2NW","01081551","47190,
47540,
47599,
82200","7.2","5.0","28.5","27.1","14.7","14.2","42.8","57.2","46.6","53.4","57.6","42.4","63.9","36.1","https://www.about.sainsburys.co.uk/~/media/Files/S/Sainsburys/Gender%20Ethnicity%20Pay%20Gap%20Report%202020.pdf","Simon Roberts (Chief Executive Officer)","20,000 or more","ARGOS LIMITED","False","06/10/2021 00:00:00","10/12/2020 15:26:10"
"ARRK EUROPE LIMITED","Caldwell Road, Nuneaton, Warwickshire, CV11 4NG","03418673","32990","16.2","7.2","61.5","24.0","18.2","28.9","65.0","35.0","78.9","21.1","85.0","15.0","84.2","15.8","https://www.arrkeurope.com/fileadmin/user_upload/Company/arrk-companys/arrk-europe-limited/ARRK_Europe_Ltd._Gender_Pay_Report_April_2020.pdf","Simon Holmes (Finance Director)","250 to 499","ARRK EUROPE LIMITED","False","06/10/2021 00:00:00","02/03/2021 11:29:03"
"ARROW ENTERPRISE COMPUTING SOLUTIONS LIMITED","Nidderdale House, Beckwith Knowle, Otley Road Harrogate, North Yorkshire, HG3 1SA","03952678","62090","29.20","34.10","58.10","48.30","79.10","75.70","53.70","46.30","58.70","41.30","81.50","18.50","80.60","19.40","https://www.arrowecs.co.uk/about-us/latest-news","Kieran Cooper (Cheif Financial Officer)","250 to 499","ARROW ENTERPRISE COMPUTING SOLUTIONS LIMITED","False","06/10/2021 00:00:00","04/05/2020 11:10:39"
"Arun District Council","Arun Civic Centre, Maltravers Road, Littlehampton, West Sussex, United Kingdom, BN17 5LF","","1,
84110","7.3","10.7","","","0.0","0.0","33.0","67.0","26.0","74.0","36.0","64.0","51.0","49.0","","","250 to 499","Arun District Council","False","06/10/2021 00:00:00","03/02/2021 16:11:12"
