"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"ABERDEEN CORPORATE SERVICES LIMITED","11648","1 George Street, Edinburgh, United Kingdom, EH2 2LL","EH2 2LL","SC271355","82990","30.0","25.9","25.1","3.3","61.8","39.4","32.4","67.6","44.4","55.6","61.7","38.3","70.9","29.1","https://www.abrdn.com/docs?editionId=32cb561e-c19c-450e-8bbe-185d50f9b52f","Brett Tollman (Director, Aberdeen Corporate Services Ltd)","1000 to 4999","ABERDEEN CORPORATE SERVICES LIMITED","False","2023/04/05 00:00:00","2022/12/13 16:47:11"
"ABERLOUR CHILD CARE TRUST","794","Kintail House, Forthside Way, Stirling, Stirlingshire, Scotland, FK8 1QZ","FK8 1QZ","SC312912","96090","5.8","0","","","0","0","15.4","84.6","22.7","77.3","18.4","81.6","18.4","81.6","https://web-backend.aberlour.org.uk/wp-content/uploads/2022/07/Gender-Pay-Gap-Report-2022.pdf","SallyAnn Kelly (Chief Executive)","500 to 999","ABERLOUR CHILD CARE TRUST","False","2023/04/05 00:00:00","2022/12/12 16:12:26"
"ABF GRAIN PRODUCTS LIMITED","650","Weston Centre, 10 Grosvenor Street, London, W1K 4QY","W1K 4QY","00079590","10611,
10612,
10710,
10730","-9.3","0.7","3.9","-13.7","28.2","46.5","73.3","26.7","82.1","17.9","85.6","14.4","71.6","28.4","https://www.abf.co.uk/abf-grain-products-ltd-gender-pay-gap-report-2022","Sarah Arrowsmith (Chief Executive)","1000 to 4999","ABF GRAIN PRODUCTS LIMITED","False","2023/04/05 00:00:00","2022/12/09 16:57:40"
"ABRDN FINANCIAL PLANNING AND ADVICE LIMITED","19795","280 Bishopsgate, London, United Kingdom, EC2M 4AG","EC2M 4AG","01447544","64999,
66190","44.9","40.4","74.5","63.5","81.3","65.2","25.0","75.0","31.2","68.8","50.8","49.2","84.4","15.6","https://www.abrdn.com/docs?editionId=32cb561e-c19c-450e-8bbe-185d50f9b52f","Richard Wilson (Director, abrdn Financial Planning and Advice Ltd)","1000 to 4999","ABRDN FINANCIAL PLANNING AND ADVICE LIMITED","False","2023/04/05 00:00:00","2022/12/13 16:50:16"
"ABRDN HOLDINGS LIMITED","789","10 Queen's Terrace, Aberdeen, Aberdeenshire, United Kingdom, AB10 1XL","AB10 1XL","SC082015","64205","10.6","4.4","37.4","25.0","48.7","48.4","55.2","44.8","50.6","49.4","51.3","48.7","63.8","36.2","https://www.abrdn.com/docs?editionId=32cb561e-c19c-450e-8bbe-185d50f9b52f","Brett Tollman (Director, abrdn Holdings Ltd)","1000 to 4999","ABRDN HOLDINGS LIMITED","False","2023/04/05 00:00:00","2022/12/13 16:55:07"
"ABRDN INVESTMENT MANAGEMENT LIMITED","11650","1 George Street, Edinburgh, EH2 2LL","EH2 2LL","SC123321","66300","30.2","31.6","43.1","52.1","83.7","59.8","36.6","63.4","50.0","50.0","70.8","29.2","74.6","25.4","https://www.abrdn.com/docs?editionId=32cb561e-c19c-450e-8bbe-185d50f9b52f","Chris Demetriou (Director, abrdn Investment Management Ltd)","1000 to 4999","ABRDN INVESTMENT MANAGEMENT LIMITED","False","2023/04/05 00:00:00","2022/12/13 16:57:52"
"ABRDN INVESTMENTS LIMITED","790","10 Queen's Terrace, Aberdeen, Aberdeenshire, United Kingdom, AB10 1XL","AB10 1XL","SC108419","64999","32.1","30.0","44.2","71.4","72.2","58.5","48.8","51.2","54.1","45.9","64.8","35.2","80.5","19.5","https://www.abrdn.com/docs?editionId=32cb561e-c19c-450e-8bbe-185d50f9b52f","Chris Demetriou (Director, abrdn Investments Ltd)","1000 to 4999","ABRDN INVESTMENTS LIMITED","False","2023/04/05 00:00:00","2022/12/13 17:01:17"
"ABRDN PLC","11651","1 George Street, Edinburgh, United Kingdom, EH2 2LL","EH2 2LL","SC286832","70100","28.7","24.2","46.2","47.4","66.2","50.9","42.3","57.7","48.5","51.5","58.9","41.1","73.0","27.0","https://www.abrdn.com/docs?editionId=32cb561e-c19c-450e-8bbe-185d50f9b52f","Brett Tollman (Global Head of Reward)","1000 to 4999","ABRDN PLC","False","2023/04/05 00:00:00","2022/12/13 17:09:58"
"ACER TRUST","16212","Matthew Arnold School, Arnolds Way, Oxford, United Kingdom, OX2 9JE","OX2 9JE","09591931","85310","20.43","25.34","","","0","0","13","87","16","84","30","70","31","69","https://www.acertrust.org.uk/key-information/governance/records-of-governance","","500 to 999","ACER TRUST","False","2023/03/31 00:00:00","2022/12/07 09:40:57"
"ACES ACADEMIES TRUST","14542","Hinchingbrooke School, Brampton Road, Huntingdon, Cambridgeshire, PE29 3BN","PE29 3BN","07732319","85310","22.3","56.1","9.0","0","52.8","47.5","28","72","17","83","25","75","38","62","","","250 to 499","ACES ACADEMIES TRUST","False","2023/03/31 00:00:00","2022/12/16 13:34:42"
"ACIS GROUP LIMITED","20901","Acis House, Bridge Street, Gainsborough, Lincolnshire, DN21 1GG","DN21 1GG","03593345","68201","15.90","3.17","24.36","-49.91","21.62","26.55","28.79","71.21","81.54","18.46","46.15","53.85","70.77","29.23","","Catherine Everatt (HR Systems & Payroll Co-ordinator)","250 to 499","ACIS GROUP LIMITED","False","2023/04/05 00:00:00","2022/11/18 10:37:21"
"ACORN EDUCATION TRUST","860","Kingdown School, Woodcock Road, Warminster, Wiltshire, BA12 9DR","BA12 9DR","07654902","85310","0","0","","","0","100","0","100","57.14","42.86","0","100","28.57","71.43","","","500 to 999","ACORN EDUCATION TRUST","False","2023/03/31 00:00:00","2023/01/12 15:37:37"
"AD ASTRA ACADEMY TRUST","14497","Hub Two, The Innovation Centre Venture Court, Queens Meadow Business Park, Hartlepool, England, TS25 5TG","TS25 5TG","09308398","85200","19.9","46.21","","","0","0","2","98","10","90","14","86","11.9","88.1","https://adastraschools.org/key-information/legal-documents-policies/","","250 to 499","AD ASTRA ACADEMY TRUST","False","2023/03/31 00:00:00","2022/11/25 15:57:02"
"ADNAMS PLC","154","East Green,, Southwold,, Suffolk, IP18 6JW","IP18 6JW","00031114","11010,
11050,
46342,
47250","100","0","11.01","4.76","1.4","0.4","46","54","35","65","65","35","58","42","https://adnams.co.uk/pages/equal-pay-gender-pay-gap","Sadie Lofthouse (Director of Culture & Performance)","500 to 999","ADNAMS PLC","False","2023/04/05 00:00:00","2022/11/07 08:34:53"
"Advisory, Conciliation and Arbitration Service","496","8th Floor, Windsor House, 50 Victoria Street, London, London, United Kingdom, SW1H 0TL","SW1H 0TL","","1,
84110","7.2","6.1","19.4","9.9","60","57","37.2","62.8","39.1","60.9","36.8","63.2","51.8","48.2","https://www.acas.org.uk/acas-gender-pay-report/2021-to-2022-report","","1000 to 4999","Advisory, Conciliation and Arbitration Service","False","2023/03/31 00:00:00","2022/08/01 13:15:17"
"AESICA QUEENBOROUGH LIMITED","957","Aesica Queenborough Limited, North Road, Queenborough, Kent, England, ME11 5EL","ME11 5EL","06350087","21100","17.06","14.57","","","0","0","47","53","53","47","73","27","77","23","","Alison Lynch (HR Business Partner)","Less than 250","AESICA QUEENBOROUGH LIMITED","False","2023/04/05 00:00:00","2022/12/19 09:45:12"
"AFH INDEPENDENT FINANCIAL SERVICES LIMITED","19364","Afh House Buntsford Drive, Stoke Heath, Bromsgrove, Worcestershire, B60 4JE","B60 4JE","04049180","64999","25","32","-33","69","2","3","29","71","28","72","41","59","60","40","","Alison Court (Senior HR Adviser)","500 to 999","AFH INDEPENDENT FINANCIAL SERVICES LIMITED","False","2023/04/05 00:00:00","2022/05/20 11:24:09"
"AGE UK NORTHUMBERLAND","19713","The Round House, Lintonville Parkway, Ashington, Northumberland, NE63 9JZ","NE63 9JZ","03639406","88100","-3.8","0","","","0","0","28","72","16","84","21","79","27","73","https://www.ageuk.org.uk/northumberland/about-us/join-us/","Sarah Turner (Head of Finance)","250 to 499","AGE UK NORTHUMBERLAND","False","2023/04/05 00:00:00","2022/09/26 08:29:12"
"AGRIAL FRESH PRODUCE LTD","346","Florette House Wood End Lane, Fradley, Lichfield, Staffordshire, England, WS13 8NF","WS13 8NF","03687920","10390","11.3","7.8","11.7","61","78.3","85.5","51.4","48.6","54.2","45.8","64.3","35.7","74.6","25.4","https://agrialfreshproduce.co.uk/wp-content/uploads/2023/01/Gender-Pay-Gap-2022.pdf","Doug Robertson (Managing Director)","500 to 999","AGRIAL FRESH PRODUCE LTD","False","2023/04/05 00:00:00","2023/01/10 21:07:28"
"ALAN BOSWELL INSURANCE BROKERS LIMITED","21573","Prospect House, Rouen Road, Norwich, England, NR1 1RE","NR1 1RE","02591252","66220","24","21","52.5","0","95.24","95.94","39","61","32","68","49","51","74","26","","Gillian Anderson Brown (HR Director)","250 to 499","ALAN BOSWELL INSURANCE BROKERS LIMITED","False","2023/04/05 00:00:00","2022/11/08 15:37:53"
"ALETHEIA ACADEMIES TRUST","17088","Saint George's Church Of England School, Meadow Road, Gravesend, England, DA11 7LS","DA11 7LS","07801612","85200,
85310","26.2","23.2","","","0","0","21.5","78.5","33.64","66.36","14.95","85.05","12.15","87.85","","","500 to 999","ALETHEIA ACADEMIES TRUST","False","2023/03/31 00:00:00","2023/01/05 11:26:39"
"ALEXANDER MANN SOLUTIONS LIMITED","1098","7 Bishopsgate, London, EC2N 3AQ","EC2N 3AQ","02073305","78300","8.8","3.3","34.1","6.9","55.8","59","35","65","37","63","39","61","38","62","https://www.weareams.com/wp-content/uploads/AMS-Gender-and-Ethnicity-Balance-and-Pay-Report-2022.pdf","Ruth Smyth (Managing Director, People and Culture)","1000 to 4999","ALEXANDER MANN SOLUTIONS LIMITED","False","2023/04/05 00:00:00","2023/01/03 13:56:16"
"All Saints Catholic Academy Trust","20895","c/o St Joan of Arc Catholic School, High Street, Rickmansworth, Hertfordshire, United Kingdom, WD3 1HG","WD3 1HG","","","25","49","","","0","0","10","90","10","90","26","74","26","74","http://ascatonline.co.uk","","250 to 499","All Saints Catholic Academy Trust","False","2023/03/31 00:00:00","2022/07/05 10:48:22"
"ALLEN & OVERY (SSF) LIMITED","1118","One Bishops Square, London, E1 6AD","E1 6AD","07462843","82990","15.9","17.1","47.8","2.4","71.7","71.1","28","72","40","60","50","50","54","46","https://www.allenovery.com/en-gb/global/about_us/all_in/uk_pay_gap_report","Sasha Hardman (Global HR Director)","500 to 999","ALLEN & OVERY (SSF) LIMITED","False","2023/04/05 00:00:00","2022/12/22 15:03:26"
"ALLEN & OVERY SERVICE COMPANY LIMITED","1120","One, Bishops Square, London, E1 6AD","E1 6AD","02158783","74990","15.4","29.5","26.3","44.1","74.9","80.6","25","75","43","57","43","57","47","53","https://www.allenovery.com/en-gb/global/about_us/all_in/uk_pay_gap_report","Sasha Hardman (Global HR Director)","1000 to 4999","ALLEN & OVERY SERVICE COMPANY LIMITED","False","2023/04/05 00:00:00","2022/12/22 14:57:53"
"Allerdale Borough Council","17194","Allerdale House, Workington, CA14 3YJ","CA14 3YJ","","1,
84110","9.5","17.0","","","0","0","20","80","33","67","33","67","50","50","https://www.allerdale.gov.uk/en/about-council/equality-duty/","","Less than 250","Allerdale Borough Council","False","2023/03/31 00:00:00","2022/06/13 16:13:15"
"ALLIANCE DISPOSABLES LIMITED","1128","Alliance House, Marshfield Bank, Crewe, Cheshire, CW2 8UY","CW2 8UY","03747333","47190","-0.8","-6.5","24.7","-100","39.4","70.4","83.6","16.4","73.3","26.7","75.3","24.7","73.5","26.5","http://www.alliancenational.co.uk","Steven Tew (Director)","500 to 999","ALLIANCE DISPOSABLES LIMITED","False","2023/04/05 00:00:00","2023/01/24 12:43:19"
"Alpha Trust","20665","Alpha Trust, Colchester High School for Girls, Norman Way, Colchester, Essex, England, CO33US","CO33US","","","18","43.7","","","0","0","15.5","84.5","32.7","67.3","27.6","72.4","28.5","71.5","https://www.alphamat.org","","500 to 999","Alpha Trust","False","2023/03/31 00:00:00","2022/12/21 13:02:46"
"ALTON CARS LIMITED","15343","Alton Cars, Cross Green Approach, Cross Green Industrial Estate, Leeds, West Yorkshire, LS9 0SG","LS9 0SG","01469019","32990","35.81","35.75","-4.58","0","25.71","46.66","63","37","77","23","96","4","98","2","https://uploads-ssl.webflow.com/60ff0b9664d2b64253deacfa/63b6e861eb475a66520ab85f_Gender%20Pay%20Report%202022-23.pdf","Tom Jones (Group HR Director)","250 to 499","ALTON CARS LIMITED","False","2023/04/05 00:00:00","2023/01/05 15:39:48"
"ALTRAD EMPLOYMENT SERVICES LIMITED","21061","Building 2, Fields End Business Park Davey Road, Thurnscoe, Goldthorpe, Rotherham, England, S63 0JF","S63 0JF","11631174","78300","15","25","-1","-23","82","45","87.8","12.2","97.3","2.7","99.4","0.6","96.7","3.3","","Padraig Somers (CEO - UK & Nordics)","5000 to 19,999","ALTRAD EMPLOYMENT SERVICES LIMITED","False","2023/04/05 00:00:00","2022/05/11 14:11:25"
"Amber Valley Borough Council","1204","Town Hall, Market Place, Ripley, Derbyshire, United Kingdom, DE5 3BT","DE5 3BT","","1,
84110","2.9","14.7","","","0","0","65.0","35.0","36.1","63.9","32.8","67.2","57.4","42.6","https://www.ambervalley.gov.uk/council/strategies-and-policies/equality-and-diversity/","","Less than 250","Amber Valley Borough Council","False","2023/03/31 00:00:00","2022/12/19 15:07:26"
"AMBIENT SUPPORT LIMITED","6114","Unit 9 Bourne Court Unity Trading Estate, Southend Road, Woodford Green, Essex, England, IG8 8HD","IG8 8HD","07211819","88100","13.9","2.8","","","0","0","20.6","79.4","8.8","91.2","17.3","82.7","21.6","78.4","","Sarah Daniel (Director of People and Culture)","1000 to 4999","AMBIENT SUPPORT LIMITED","False","2023/04/05 00:00:00","2023/01/24 10:35:02"
"AMBITIONS ACADEMIES TRUST","1207","Manorside Academy, Evering Avenue, Poole, Dorset, England, BH12 4JG","BH12 4JG","07977940","85200,
85310","18.1","23.2","13.7","12.6","47.2","35.1","19.2","80.8","19.1","80.9","26.5","73.5","36.6","63.4","https://www.ambitions-academies.co.uk/wp-content/uploads/2022/10/AAT-Gender-Pay-Gap-Report-March-2022.pdf","","1000 to 4999","AMBITIONS ACADEMIES TRUST","False","2023/03/31 00:00:00","2022/10/21 14:14:38"
"ANGLIA MALTINGS (HOLDINGS) LIMITED","1278","Great Ryburgh, Fakenham, Norfolk, NR21 7AS","NR21 7AS","00031801","10890","14.5","19.5","52.7","0","90.6","88.4","76.8","23.2","85.5","14.5","89.9","10.1","85.5","14.5","","Amelia Smith (Payroll Administrator)","250 to 499","ANGLIA MALTINGS (HOLDINGS) LIMITED","False","2023/04/05 00:00:00","2022/12/19 12:36:10"
"ANGLIAN COUNTRY INNS LIMITED","17754","Fox Barn, Willian, Letchworth Garden City, Hertfordshire, SG6 2AE","SG6 2AE","03214479","56101,
56302","9.2","0.0","25","12.5","25.3","16.4","42.2","57.8","51.5","48.5","39.8","60.2","68.6","31.4","https://www.acinns.co.uk","Susanne McGregor (Payroll Manager)","250 to 499","ANGLIAN COUNTRY INNS LIMITED","False","2023/04/05 00:00:00","2022/10/03 14:02:45"
"ANGLIAN WATER SERVICES LIMITED","1285","Lancaster House Lancaster Way, Ermine Business Park, Huntingdon, Cambridgeshire, United Kingdom, PE29 6XU","PE29 6XU","02366656","36000,
37000,
70100","9.5","16.4","27.7","18.7","96.6","93.9","46.7","53.3","73.9","26.1","82.2","17.8","67.9","32.1","https://www.anglianwater.co.uk/siteassets/household/about-us/gender-pay-gap-2022.pdf","Susannah Clements (Group Director of People)","5000 to 19,999","ANGLIAN WATER SERVICES LIMITED","False","2023/04/05 00:00:00","2023/01/23 11:01:27"
"ANGLIAN WINDOWS LIMITED","1286","Liberator Road, Liberator Road, Norwich, England, NR6 6EU","NR6 6EU","02540020","43342","15","12.9","53.6","77","40.2","37.5","55.3","44.7","88.4","11.6","78.5","21.5","87","13","https://www.anglianhome.co.uk/legal/gender-pay-gap-reporting","Lisa Walsh (Group HR Director)","1000 to 4999","ANGLIAN WINDOWS LIMITED","False","2023/04/05 00:00:00","2022/10/20 12:52:59"
"ANN SUMMERS LTD.","1296","Gold Group House, Godstone Road, Whyteleafe, Surrey, CR3 0GG","CR3 0GG","01034349","47710","35.2","31.0","-168.8","16.7","43.5","20.5","1.1","98.9","5.6","94.4","16.8","83.2","29.1","70.9","https://www.annsummers.com/gender-pay-gap.html","Jacqueline Gold CBE (Executive Chair)","1000 to 4999","ANN SUMMERS LTD.","False","2023/04/05 00:00:00","2023/01/06 10:45:12"
"APPH LIMITED","1337","8 Pembroke Court, Chancellor Road, Manor Park, Runcorn, WA7 1TG","WA7 1TG","01972451","28120,
30300","3.6","-6.4","-199.9","-29.1","14.8","16.1","88.6","11.4","91.6","8.4","85.7","14.3","90","10","http://apph.com","Julie Andrew (Human Resources Director)","250 to 499","APPH LIMITED","False","2023/04/05 00:00:00","2022/09/12 09:24:36"
"APPLUS UK LTD","1343","Block 2 Units C And D, West Mains Industrial Estate, Grangemouth, Stirlingshire, FK3 8YE","FK3 8YE","SC236136","71200","50.6","56","26.6","0.0","9.7","16.7","57.7","42.3","91","9","98.7","1.3","98.7","1.3","","Evelyn Grogan (Head of HR)","250 to 499","APPLUS UK LTD","False","2023/04/05 00:00:00","2022/04/05 09:00:52"
"ARC HOSPITALITY RECRUITMENT SOLUTIONS LTD","17877","61a Bold Street, Liverpool, England, L1 4EZ","L1 4EZ","06626815","78300","1.9","1.2","1.9","0","48","52","51","49","46","54","49","51","40","60","","Vicky Gardner (Head of Accounts)","5000 to 19,999","ARC HOSPITALITY RECRUITMENT SOLUTIONS LTD","False","2023/04/05 00:00:00","2022/09/28 15:23:07"
"ARCHANT COMMUNITY MEDIA LIMITED","1374","Loudwater Mill Station Road, Loudwater, High Wycombe, England, HP10 9TY","HP10 9TY","00019300","58130,
58190","14.5","15.8","21.8","31.2","30.0","44.6","32.0","68.0","40.4","59.6","48.9","51.1","52.0","48.0","","Alison Rich (Director of HR)","500 to 999","ARCHANT COMMUNITY MEDIA LIMITED","False","2023/04/05 00:00:00","2022/06/17 08:37:11"
"ARDINGLY COLLEGE LIMITED","1390","Ardingly College, College Road, Ardingly, Haywards Heath, West Sussex, RH17 6SQ","RH17 6SQ","03779971","85200,
85310,
85590","5.6","1.3","13.0","20.8","90","92","37.1","62.9","40.0","60.0","37.5","62.5","44.2","55.8","https://www.ardingly.com/staff-recruitment/gender-pay-gap/","Robert Haynes Brown (Chairman)","250 to 499","ARDINGLY COLLEGE LIMITED","False","2023/04/05 00:00:00","2022/08/12 12:56:19"
"ARENA EVENT SERVICES GROUP LIMITED","1393","Needingworth Industrial Estate, Needingworth Road, St. Ives, England, PE27 4NB","PE27 4NB","04069053","93199","22.9","21.8","88.9","70.8","5","3.6","71","29","74.2","25.8","87.1","12.9","88.5","11.5","","Oxana Vladimirskaya (Group HR Manager - UK & Europe)","250 to 499","ARENA EVENT SERVICES GROUP LIMITED","False","2023/04/05 00:00:00","2022/08/23 12:28:00"
"ARJO UK LIMITED","16603","Arjohuntleigh House Houghton Hall Business Park, Houghton Regis, Dunstable, Bedfordshire, United Kingdom, LU5 5XF","LU5 5XF","10842512","32500,
77390,
96090","-4.75","3.46","-21.47","-133.41","47","36","59","41","80","20","84","16","60","40","https://www.arjo.com/globalassets/localisation/gb-site/legal/gender-pay-gap-report---5-april-2022.pdf","Sarah Logan (HR Director UKI)","500 to 999","ARJO UK LIMITED","False","2023/04/05 00:00:00","2022/12/29 11:07:20"
"ARLA FOODS LIMITED","350","Arla House, 4 Savannah Way, Leeds Valley Park, Leeds Yorkshire, LS10 1AB","LS10 1AB","02143253","10511,
46330","-12.7","-0.7","-109.64","0","97.4","100","82.4","17.6","80","20","87.4","12.6","74.2","25.8","","Pauline Hogg (UK HR Director)","1000 to 4999","ARLA FOODS LIMITED","False","2023/04/05 00:00:00","2023/01/11 16:36:56"
"ARNOLD CLARK AUTOMOBILES LIMITED","1417","454 Hillington Road, Glasgow, Scotland, G52 4FH","G52 4FH","SC036386","45111,
45112,
45200","13.3","5.8","42.7","-13.7","94.5","93.3","74.1","25.9","69.3","30.7","69.8","30.2","84.8","15.2","https://www.arnoldclark.com/gender-pay-gap-report","Colin Sinclair (Financial Controller - Head Office)","5000 to 19,999","ARNOLD CLARK AUTOMOBILES LIMITED","False","2023/04/05 00:00:00","2022/12/28 11:49:38"
"ARNOLD CLARK FINANCE LIMITED.","1418","454 Hillington Road, Glasgow, Scotland, G52 4FH","G52 4FH","SC039597","77110","-4.4","-12.1","3.7","-20.9","93.9","94.1","71.2","28.8","70.6","29.4","45.4","54.6","49.1","50.9","https://www.arnoldclark.com/gender-pay-gap-report","Colin Sinclair (Financial Controller - Head Office)","500 to 999","ARNOLD CLARK FINANCE LIMITED.","False","2023/04/05 00:00:00","2022/12/28 11:55:54"
"ARRK EUROPE LIMITED","87","Caldwell Road, Nuneaton, Warwickshire, CV11 4NG","CV11 4NG","03418673","32990","-1.8","12.9","-58.1","0","51.8","71.4","79.4","20.6","87.9","12.1","87.9","12.1","81.8","18.2","https://www.arrkeurope.com/fileadmin/user_upload/Company/arrk-companys/arrk-europe-limited/ARRK_Europe_Ltd._Gender_Pay_Report_April_2022.pdf","Simon Holmes (Finance Director)","Less than 250","ARRK EUROPE LIMITED","False","2023/04/05 00:00:00","2022/05/04 15:52:35"
"ARTHUR RANK HOSPICE CHARITY","20939","Arthur Rank Hospice Cherry Hinton Road, Shelford Bottom, Cambridge, England, CB22 3FB","CB22 3FB","07086155","86101,
86900","-9.2","-18.1","","","0","0","11.8","88.2","10.4","89.6","9","91","6.1","93.9","https://www.arhc.org.uk/about-us/governance/annual-documents-reports/","Gemma Manning (People and Operations Director)","250 to 499","ARTHUR RANK HOSPICE CHARITY","False","2023/04/05 00:00:00","2022/12/07 17:31:52"
"Arts University Bournemouth","12194","7 Fern Barrow, Poole, Dorset, United Kingdom, BH12 5HH","BH12 5HH","","1,
85421","15.32","18.59","","","0","0","23","77","40","60","45","55","45","55","https://webdocs.aub.ac.uk/Gender%20Pay%20Gap%20Report%202022.pdf?_ga=2.31933182.1162957046.1671039060-576119272.1638872893&_gac=1.16617924.1668701070.Cj0KCQiA1NebBhDDARIsAANiDD01w56bScC4dfNIz63AKKYv73OxBewdZoUOWbBQl4RW-hEFmwLMsU0aAmZkEALw_wcB","","500 to 999","Arts University Bournemouth","False","2023/03/31 00:00:00","2022/12/14 17:32:43"
